u_0_Vm,c_Nai,c_Nao,c_Ki,c_Ko,c_Pi,c_ATP,c_ADP,T,pH,v_ss
0,40,0.1,0.001,5,0.005,0.01,0.001,297,7.4,2.08348
0,40,0.1,0.001,5,0.005,0.03,0.001,297,7.4,5.73238
0,40,0.1,0.001,5,0.005,0.05,0.001,297,7.4,8.82271
0,40,0.1,0.001,5,0.005,0.1,0.001,297,7.4,14.8113
0,40,0.1,0.001,5,0.005,0.15,0.001,297,7.4,19.1424
0,40,0.1,0.001,5,0.005,0.2,0.001,297,7.4,22.4205
0,40,0.1,0.001,5,0.005,0.3,0.001,297,7.4,27.0534
0,40,0.1,0.001,5,0.005,0.4,0.001,297,7.4,30.1705
0,40,0.1,0.001,5,0.005,0.5,0.001,297,7.4,32.4111
0,40,0.1,0.001,5,0.005,0.6,0.001,297,7.4,34.0994
